medcodeid,observations,term,emiscodecategoryid,description_lower,bl_dm_type,bl_dm
264693010,541094,Has seen dietician - diabetes,1,has seen dietician - diabetes,Unclear,1
264695015,449333,Understands diet - diabetes,1,understands diet - diabetes,Unclear,1
264701014,780625,Fundoscopy - diabetic check,1,fundoscopy - diabetic check,Unclear,1
264704018,13657,Diabetic drug side effects,5,diabetic drug side effects,Unclear,1
264705017,59810,Diabetic treatment changed,1,diabetic treatment changed,Unclear,1
264706016,77223,Conversion to insulin,1,conversion to insulin,Unclear,1
264707013,546381,Diabetic - good control,1,diabetic - good control,Unclear,1
264716012,18621,Diabetic - poor control NOS,27,diabetic - poor control nos,Unclear,1
264717015,13201,Diabetic - cooperative patient,1,diabetic - cooperative patient,Unclear,1
264718013,2182,Diabetic-uncooperative patient,1,diabetic-uncooperative patient,Unclear,1
264719017,33952,Diabetic - follow-up default,1,diabetic - follow-up default,Unclear,1
264720011,15133,Date diabetic treatment start,1,date diabetic treatment start,Unclear,1
264723013,2701742,Diabetes: practice programme,1,diabetes: practice programme,Unclear,1
264724019,361667,Diabetes: shared care programme,1,diabetes: shared care programme,Unclear,1
264726017,857588,Diabetes management plan given,1,diabetes management plan given,Unclear,1
264727014,10442620,Diabetic annual review,1,diabetic annual review,Unclear,1
264728016,166390,Annual diabetic blood test,1,annual diabetic blood test,Unclear,1
264729012,578857,Diabetic monitoring NOS,1,diabetic monitoring nos,Unclear,1
278718015,2112,Continuous subcutaneous infusion of insulin,32,continuous subcutaneous infusion of insulin,Unclear,1
282568013,747,Diabetic crisis monitoring,32,diabetic crisis monitoring,Unclear,1
282570016,4450,Diabetic stabilisation,32,diabetic stabilisation,Unclear,1
283544013,4547,Diabetic emergency hospital admission,40,diabetic emergency hospital admission,Unclear,1
283584016,726,Non-urgent diabetic admission,40,non-urgent diabetic admission,Unclear,1
283709014,50557,Referral to diabetic liaison nurse,40,referral to diabetic liaison nurse,Unclear,1
283889016,294,Diabetology D.V. requested,40,diabetology d.v. requested,Unclear,1
283938017,2465,Diabetology D.V. done,40,diabetology d.v. done,Unclear,1
283974014,87,Listed for Diabetology admission,40,listed for diabetology admission,Unclear,1
285223014,5952960,Seen in diabetic clinic,37,seen in diabetic clinic,Unclear,1
285751016,317643,Attends diabetes monitoring,37,attends diabetes monitoring,Unclear,1
285752011,7468,Refuses diabetes monitoring,37,refuses diabetes monitoring,Unclear,1
285753018,36969,Diabetes monitoring default,37,diabetes monitoring default,Unclear,1
292466013,17931,Diabetes mellitus without complication,32,diabetes mellitus without complication,Unclear,1
292475010,5238,Diabetes mellitus NOS with no mention of complication,32,diabetes mellitus nos with no mention of complication,Unclear,1
292478012,383,Other specified diabetes mellitus with ketoacidosis,32,other specified diabetes mellitus with ketoacidosis,Unclear,1
292479016,1701,Diabetes mellitus NOS with ketoacidosis,32,diabetes mellitus nos with ketoacidosis,Unclear,1
292480018,759,Diabetes mellitus with hyperosmolar coma,32,diabetes mellitus with hyperosmolar coma,Unclear,1
292482014,21,"Diabetes mellitus, juvenile type, with hyperosmolar coma",32,"diabetes mellitus, juvenile type, with hyperosmolar coma",Unclear,1
292483016,87,"Diabetes mellitus, adult onset, with hyperosmolar coma",32,"diabetes mellitus, adult onset, with hyperosmolar coma",Unclear,1
292484010,145,Hyperosmolar coma associated with diabetes mellitus,32,hyperosmolar coma associated with diabetes mellitus,Unclear,1
292488013,36,Coma associated with diabetes mellitus,32,coma associated with diabetes mellitus,Unclear,1
292489017,112,Diabetes mellitus NOS with ketoacidotic coma,32,diabetes mellitus nos with ketoacidotic coma,Unclear,1
292495016,140,Other specified diabetes mellitus with renal complications,32,other specified diabetes mellitus with renal complications,Unclear,1
292496015,1706,Diabetes mellitus with nephropathy NOS,32,diabetes mellitus with nephropathy nos,Unclear,1
292503016,248,Diabetes mellitus NOS with ophthalmic manifestation,32,diabetes mellitus nos with ophthalmic manifestation,Unclear,1
292512019,1968,Diabetes mellitus NOS with neurological manifestation,32,diabetes mellitus nos with neurological manifestation,Unclear,1
292523015,702,Diabetes mellitus NOS with peripheral circulatory disorder,32,diabetes mellitus nos with peripheral circulatory disorder,Unclear,1
292538019,10,Type I diabetes mellitus with ulcer,32,type i diabetes mellitus with ulcer,Type 1 DM,1
292540012,272,Type 1 diabetes mellitus with ulcer,32,type 1 diabetes mellitus with ulcer,Type 1 DM,1
292541011,172,Type 1 diabetes mellitus with gangrene,32,type 1 diabetes mellitus with gangrene,Type 1 DM,1
292543014,13,Type I diabetes mellitus with gangrene,32,type i diabetes mellitus with gangrene,Type 1 DM,1
292548017,1652,Type 1 diabetes mellitus - poor control,32,type 1 diabetes mellitus - poor control,Type 1 DM,1
292550013,56,Type I diabetes mellitus - poor control,32,type i diabetes mellitus - poor control,Type 1 DM,1
292551012,34,Type I diabetes mellitus maturity onset,32,type i diabetes mellitus maturity onset,Type 1 DM,1
292553010,2046,Type 1 diabetes mellitus maturity onset,32,type 1 diabetes mellitus maturity onset,Type 1 DM,1
292565014,237,Diabetes mellitus with multiple complications,32,diabetes mellitus with multiple complications,Unclear,1
292576013,32,Type II diabetes mellitus with multiple complications,32,type ii diabetes mellitus with multiple complications,Type 2 DM,1
292577016,2870,Type 2 diabetes mellitus with multiple complications,32,type 2 diabetes mellitus with multiple complications,Type 2 DM,1
292579018,1197,Type 2 diabetes mellitus with ulcer,32,type 2 diabetes mellitus with ulcer,Type 2 DM,1
292581016,31,Type II diabetes mellitus with ulcer,32,type ii diabetes mellitus with ulcer,Type 2 DM,1
292582011,8,Type II diabetes mellitus with gangrene,32,type ii diabetes mellitus with gangrene,Type 2 DM,1
292583018,279,Type 2 diabetes mellitus with gangrene,32,type 2 diabetes mellitus with gangrene,Type 2 DM,1
292589019,287,Type II diabetes mellitus - poor control,32,type ii diabetes mellitus - poor control,Type 2 DM,1
292590011,16071,Type II diabetes mellitus poorly controlled,32,type ii diabetes mellitus poorly controlled,Type 2 DM,1
292606016,121,Malnutrition-related diabetes mellitus with ketoacidosis,32,malnutrition-related diabetes mellitus with ketoacidosis,Unclear,1
292612014,4,Malnutrition-related diabetes mellitus without complications,32,malnutrition-related diabetes mellitus without complications,Unclear,1
292617015,1653,Diabetes mellitus with other specified manifestation,32,diabetes mellitus with other specified manifestation,Unclear,1
292621010,50,Diabetes mellitus NOS with other specified manifestation,32,diabetes mellitus nos with other specified manifestation,Unclear,1
292622015,804,Diabetes mellitus with unspecified complication,32,diabetes mellitus with unspecified complication,Unclear,1
292626017,571,Diabetic complication,32,diabetic complication,Unclear,1
293756010,74,[X]Other specified diabetes mellitus,32,[x]other specified diabetes mellitus,Unclear,1
293759015,2292,Diabetic renal disease,32,diabetic renal disease,Unclear,1
297492014,727,Diabetic mononeuritis multiplex,32,diabetic mononeuritis multiplex,Unclear,1
297510017,1765,Diabetic mononeuritis NOS,32,diabetic mononeuritis nos,Unclear,1
297550019,6997,Acute painful diabetic neuropathy,32,acute painful diabetic neuropathy,Unclear,1
297551015,12901,Chronic painful diabetic neuropathy,32,chronic painful diabetic neuropathy,Unclear,1
297552010,17282,Asymptomatic diabetic neuropathy,32,asymptomatic diabetic neuropathy,Unclear,1
297754014,70194,Preproliferative diabetic retinopathy,32,preproliferative diabetic retinopathy,Unclear,1
297755010,6241,Advanced diabetic maculopathy,32,advanced diabetic maculopathy,Unclear,1
297758012,17601,Diabetic retinopathy NOS,32,diabetic retinopathy nos,Unclear,1
297964010,241,Diabetic iritis,32,diabetic iritis,Unclear,1
303846016,713,Nephrotic syndrome in diabetes mellitus,32,nephrotic syndrome in diabetes mellitus,Unclear,1
305158015,196,Diabetic glomerulopathy,32,diabetic glomerulopathy,Unclear,1
306112011,804,"Pre-existing diabetes mellitus, insulin-dependent",32,"pre-existing diabetes mellitus, insulin-dependent",Unclear,1
306113018,193,"Pre-existing diabetes mellitus, non-insulin-dependent",32,"pre-existing diabetes mellitus, non-insulin-dependent",Unclear,1
306114012,2,Pre-existing malnutrition-related diabetes mellitus,32,pre-existing malnutrition-related diabetes mellitus,Unclear,1
308110013,484,Pre-existing diabetes mellitus,32,pre-existing diabetes mellitus,Unclear,1
308360012,4266,Cellulitis in diabetic foot,32,cellulitis in diabetic foot,Unclear,1
309177010,17377,Ischaemic ulcer diabetic foot,32,ischaemic ulcer diabetic foot,Unclear,1
309179013,43470,Neuropathic diabetic ulcer - foot,32,neuropathic diabetic ulcer - foot,Unclear,1
309180011,28507,Mixed diabetic ulcer - foot,32,mixed diabetic ulcer - foot,Unclear,1
309737011,1371,Diabetic cheiroarthropathy,32,diabetic cheiroarthropathy,Unclear,1
309738018,216,Diabetic cheiropathy,32,diabetic cheiropathy,Unclear,1
317347010,1317,[D]Gangrene of toe in diabetic,32,[d]gangrene of toe in diabetic,Unclear,1
317348017,208,[D]Widespread diabetic foot gangrene,32,[d]widespread diabetic foot gangrene,Unclear,1
345486016,134087,Diabetic neuropathy,32,diabetic neuropathy,Unclear,1
345487013,24706,Diabetes mellitus with neuropathy,32,diabetes mellitus with neuropathy,Unclear,1
345492010,1746,Diabetic mononeuropathy,32,diabetic mononeuropathy,Unclear,1
347657010,226987,Diabetic maculopathy,32,diabetic maculopathy,Unclear,1
354316011,313,Kidney disorder due to diabetes mellitus,32,kidney disorder due to diabetes mellitus,Unclear,1
354508018,45,Clinical diabetic nephropathy,32,clinical diabetic nephropathy,Unclear,1
354509014,1259,Proteinuric diabetic nephropathy,32,proteinuric diabetic nephropathy,Unclear,1
356078011,85,Secondary endocrine diabetes mellitus,32,secondary endocrine diabetes mellitus,Unclear,1
356080017,332,Reaven's syndrome,32,reaven's syndrome,Unclear,1
356085010,819,Maturity onset diabetes in youth type 2,32,maturity onset diabetes in youth type 2,Type 2 DM,1
356110010,6,"Megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",32,"megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",Unclear,1
356111014,9,Insulin-dependent diabetes mellitus secretory diarrhoea syndrome,32,insulin-dependent diabetes mellitus secretory diarrhoea syndrome,Unclear,1
356118015,27,Diabetes-deafness syndrome maternally transmitted,32,diabetes-deafness syndrome maternally transmitted,Unclear,1
356119011,6,Abnormal metabolic state in diabetes mellitus,32,abnormal metabolic state in diabetes mellitus,Unclear,1
356121018,301,Diabetic severe hyperglycaemia,32,diabetic severe hyperglycaemia,Unclear,1
358035014,5339,Insulin lipohypertrophy,5,insulin lipohypertrophy,Unclear,1
358036010,2523,Insulin site lipohypertrophy,5,insulin site lipohypertrophy,Unclear,1
399419012,199,Myasthenic syndrome due to diabetic amyotrophy,32,myasthenic syndrome due to diabetic amyotrophy,Unclear,1
401531012,407300,Diabetic - poor control,27,diabetic - poor control,Unclear,1
405057014,38156,Diabetes monitored,37,diabetes monitored,Unclear,1
411891014,3752,Unstable diabetes,27,unstable diabetes,Unclear,1
429970018,62,Unstable type I diabetes mellitus,32,unstable type i diabetes mellitus,Type 1 DM,1
429971019,467,Unstable type 1 diabetes mellitus,32,unstable type 1 diabetes mellitus,Type 1 DM,1
429972014,105,Unstable insulin dependent diabetes mellitus,27,unstable insulin dependent diabetes mellitus,Unclear,1
448261010,24249,Seen by diabetic liaison nurse,37,seen by diabetic liaison nurse,Unclear,1
449540010,404,Discharge by diabetic liaison nurse,40,discharge by diabetic liaison nurse,Unclear,1
451410016,40359,O/E - Right diabetic foot at risk,27,o/e - right diabetic foot at risk,Unclear,1
451411017,39191,O/E - Left diabetic foot at risk,27,o/e - left diabetic foot at risk,Unclear,1
452078013,199358,Subcutaneous injection of insulin,32,subcutaneous injection of insulin,Unclear,1
453100011,615,H/O: Admission in last year for diabetes foot problem,32,h/o: admission in last year for diabetes foot problem,Unclear,1
453102015,532,H/O: Admission in last year for hyperglycaemic disorder,32,h/o: admission in last year for hyperglycaemic disorder,Unclear,1
454092018,806,Diabetic hyperosmolar non-ketotic state,32,diabetic hyperosmolar non-ketotic state,Unclear,1
454093011,94,HONKS - Diabetic hyperosmolar non-ketotic state,32,honks - diabetic hyperosmolar non-ketotic state,Unclear,1
455408014,1139,Advanced diabetic retinal disease,32,advanced diabetic retinal disease,Unclear,1
456646018,141067,Referral to diabetes nurse,40,referral to diabetes nurse,Unclear,1
456686014,104961,Attending diabetes clinic,37,attending diabetes clinic,Unclear,1
457156014,109,[V]Admitted for conversion to insulin,1,[v]admitted for conversion to insulin,Unclear,1
457157017,241,[V]Admitted for commencement of insulin,1,[v]admitted for commencement of insulin,Unclear,1
457231013,2156863,Seen in diabetic eye clinic,37,seen in diabetic eye clinic,Unclear,1
457325013,109,Type I diabetes mellitus without complication,32,type i diabetes mellitus without complication,Type 1 DM,1
457326014,376,Type 1 diabetes mellitus without complication,32,type 1 diabetes mellitus without complication,Type 1 DM,1
457327017,321,Insulin-dependent diabetes without complication,32,insulin-dependent diabetes without complication,Unclear,1
457328010,5398,Non-insulin-dependent diabetes mellitus without complication,32,non-insulin-dependent diabetes mellitus without complication,Unclear,1
457329019,11370,Type 2 diabetes mellitus without complication,32,type 2 diabetes mellitus without complication,Type 2 DM,1
457330012,1107,Type II diabetes mellitus without complication,32,type ii diabetes mellitus without complication,Type 2 DM,1
458512016,304315,Diabetic on insulin and oral treatment,1,diabetic on insulin and oral treatment,Unclear,1
459161015,283,Type 1 diabetes mellitus with hypoglycaemic coma,32,type 1 diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
459162010,128,Insulin dependent diabetes mellitus with hypoglycaemic coma,32,insulin dependent diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
459163017,43,Type I diabetes mellitus with hypoglycaemic coma,32,type i diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
459167016,221,Type 2 diabetes mellitus with hypoglycaemic coma,32,type 2 diabetes mellitus with hypoglycaemic coma,Type 2 DM,1
459169018,67,Hypoglycaemic coma co-occurrent and due to diabetes mellitus type II,32,hypoglycaemic coma co-occurrent and due to diabetes mellitus type ii,Type 2 DM,1
459292011,60,Type 1 diabetes mellitus with arthropathy,32,type 1 diabetes mellitus with arthropathy,Type 1 DM,1
459293018,6,Insulin dependent diabetes mellitus with arthropathy,32,insulin dependent diabetes mellitus with arthropathy,Type 1 DM,1
459294012,23,Type I diabetes mellitus with arthropathy,32,type i diabetes mellitus with arthropathy,Type 1 DM,1
459296014,222,Type 1 diabetes mellitus with neuropathic arthropathy,32,type 1 diabetes mellitus with neuropathic arthropathy,Type 1 DM,1
459306016,64,Type II diabetes mellitus with peripheral angiopathy,32,type ii diabetes mellitus with peripheral angiopathy,Type 2 DM,1
459308015,340,Type 2 diabetes mellitus with peripheral angiopathy,32,type 2 diabetes mellitus with peripheral angiopathy,Type 2 DM,1
459309011,8,Non-insulin dependent diabetes mellitus with arthropathy,32,non-insulin dependent diabetes mellitus with arthropathy,Type 2 DM,1
459310018,210,Type 2 diabetes mellitus with arthropathy,32,type 2 diabetes mellitus with arthropathy,Type 2 DM,1
459311019,49,Type II diabetes mellitus with arthropathy,32,type ii diabetes mellitus with arthropathy,Type 2 DM,1
459312014,40,Type II diabetes mellitus with neuropathic arthropathy,32,type ii diabetes mellitus with neuropathic arthropathy,Type 2 DM,1
459313016,917,Type 2 diabetes mellitus with neuropathic arthropathy,32,type 2 diabetes mellitus with neuropathic arthropathy,Type 2 DM,1
459520010,48877,Diabetes resolved,27,diabetes resolved,Unclear,1
459694018,102461,Diabetic lipid lowering diet,17,diabetic lipid lowering diet,Unclear,1
459695017,82385,Diabetic weight reducing diet,17,diabetic weight reducing diet,Unclear,1
483882011,1054,Maturity-onset diabetes of the young,32,maturity-onset diabetes of the young,Unclear,1
483886014,3007,Maturity onset diabetes in youth,32,maturity onset diabetes in youth,Unclear,1
493773010,44941,NIDDM - Non-insulin dependent diabetes mellitus,32,niddm - non-insulin dependent diabetes mellitus,Type 2 DM,1
493774016,680112,Type II diabetes mellitus,32,type ii diabetes mellitus,Type 2 DM,1
494564012,82819,Type I diabetes mellitus,32,type i diabetes mellitus,Type 1 DM,1
498512013,2,Genetic syndromes of diabetes mellitus,32,genetic syndromes of diabetes mellitus,Unclear,1
1223147012,1689,Insulin treated Type II diabetes mellitus,32,insulin treated type ii diabetes mellitus,Type 2 DM,1
1223148019,1235,Insulin treated non-insulin dependent diabetes mellitus,32,insulin treated non-insulin dependent diabetes mellitus,Type 2 DM,1
1227774019,8280,[V]Dietary counselling in diabetes mellitus,32,[v]dietary counselling in diabetes mellitus,Unclear,1
1230890017,7485,Autonomic neuropathy due to diabetes,32,autonomic neuropathy due to diabetes,Unclear,1
1230929011,3820,Secondary pancreatic diabetes mellitus,32,secondary pancreatic diabetes mellitus,Unclear,1
1479985016,16901,Insulin administration education,17,insulin administration education,Unclear,1
1484867016,122598,Non proliferative diabetic retinopathy,32,non proliferative diabetic retinopathy,Unclear,1
1484883016,2110548,O/E - no right diabetic retinopathy,27,o/e - no right diabetic retinopathy,Unclear,1
1484886012,2106197,O/E - no left diabetic retinopathy,27,o/e - no left diabetic retinopathy,Unclear,1
1484887015,29344,O/E - diabetic maculopathy present both eyes,27,o/e - diabetic maculopathy present both eyes,Unclear,1
1484888013,221614,O/E - diabetic maculopathy absent both eyes,27,o/e - diabetic maculopathy absent both eyes,Unclear,1
1484923019,256632,Refer to diabetic foot screener,40,refer to diabetic foot screener,Unclear,1
1484954015,418256,Did not attend diabetic clinic,37,did not attend diabetic clinic,Unclear,1
1488393013,9358806,O/E - Right diabetic foot at low risk,27,o/e - right diabetic foot at low risk,Unclear,1
1488394019,449288,O/E - Right diabetic foot at high risk,27,o/e - right diabetic foot at high risk,Unclear,1
1488395018,41062,O/E - Right diabetic foot - ulcerated,27,o/e - right diabetic foot - ulcerated,Unclear,1
1488396017,43680,O/E - Left diabetic foot - ulcerated,27,o/e - left diabetic foot - ulcerated,Unclear,1
1488397014,9314734,O/E - Left diabetic foot at low risk,27,o/e - left diabetic foot at low risk,Unclear,1
1488398016,447520,O/E - Left diabetic foot at high risk,27,o/e - left diabetic foot at high risk,Unclear,1
1488403015,1584018,O/E - Left diabetic foot at moderate risk,27,o/e - left diabetic foot at moderate risk,Unclear,1
1488404014,1592323,O/E - Right diabetic foot at moderate risk,27,o/e - right diabetic foot at moderate risk,Unclear,1
1488405010,318215,Diabetic foot risk assessment,1,diabetic foot risk assessment,Unclear,1
1488406011,4394,Diabetic pre-pregnancy counselling,17,diabetic pre-pregnancy counselling,Unclear,1
1488441010,843181,Diabetes medication review,32,diabetes medication review,Unclear,1
1488898011,1364,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,32,hyperosmolar non-ketotic state in type 2 diabetes mellitus,Type 2 DM,1
1780286017,1163880,Diabetic peripheral neuropathy screening,1,diabetic peripheral neuropathy screening,Unclear,1
1780311019,3868,Type 1 diabetes mellitus with persistent microalbuminuria,32,type 1 diabetes mellitus with persistent microalbuminuria,Type 1 DM,1
1780386019,853909,Diabetic foot examination,1,diabetic foot examination,Unclear,1
1785163015,1422,High risk proliferative diabetic retinopathy,32,high risk proliferative diabetic retinopathy,Unclear,1
1785332013,981340,Background diabetic retinopathy,32,background diabetic retinopathy,Unclear,1
1786715019,17,Bronzed diabetes,32,bronzed diabetes,Unclear,1
2156000010,12,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus",32,"lipodystrophy, partial, with rieger anomaly, short stature, and insulinopenic diabetes mellitus",Unclear,1
2159170012,804657,Patient on maximal tolerated therapy for diabetes,32,patient on maximal tolerated therapy for diabetes,Unclear,1
2159271018,184202,Seen in diabetic foot clinic,37,seen in diabetic foot clinic,Unclear,1
2159854012,3787,Diabetes key contact,37,diabetes key contact,Unclear,1
2159948010,117550,Diabetic retinopathy 12 month review,40,diabetic retinopathy 12 month review,Unclear,1
2159949019,3738,Diabetic retinopathy 6 month review,40,diabetic retinopathy 6 month review,Unclear,1
2159956013,24085,Under care of diabetes specialist nurse,37,under care of diabetes specialist nurse,Unclear,1
2159958014,780090,Under care of diabetic foot screener,37,under care of diabetic foot screener,Unclear,1
2159969012,97761,Patient held diabetic record issued,37,patient held diabetic record issued,Unclear,1
2159973010,693050,O/E - right eye background diabetic retinopathy,27,o/e - right eye background diabetic retinopathy,Unclear,1
2159974016,689253,O/E - left eye background diabetic retinopathy,27,o/e - left eye background diabetic retinopathy,Unclear,1
2159975015,57100,O/E - right eye preproliferative diabetic retinopathy,27,o/e - right eye preproliferative diabetic retinopathy,Unclear,1
2159976019,56372,O/E - left eye preproliferative diabetic retinopathy,27,o/e - left eye preproliferative diabetic retinopathy,Unclear,1
2159977011,33594,O/E - right eye proliferative diabetic retinopathy,27,o/e - right eye proliferative diabetic retinopathy,Unclear,1
2159978018,33124,O/E - left eye proliferative diabetic retinopathy,27,o/e - left eye proliferative diabetic retinopathy,Unclear,1
2159979014,103384,Maculopathy of right eye with diabetes mellitus,27,maculopathy of right eye with diabetes mellitus,Unclear,1
2159980012,104571,Maculopathy of left eye with diabetes mellitus,27,maculopathy of left eye with diabetes mellitus,Unclear,1
2160025013,11625,Diabetic medicine,37,diabetic medicine,Unclear,1
2160090014,259,Diabetes mellitus induced by non-steroid drugs,32,diabetes mellitus induced by non-steroid drugs,Unclear,1
2474309019,268708,Diabetic foot examination declined,32,diabetic foot examination declined,Unclear,1
2474334019,224301,Diabetes clinical management plan,32,diabetes clinical management plan,Unclear,1
2474671011,295767,Diabetic retinopathy screening refused,32,diabetic retinopathy screening refused,Unclear,1
2474726011,28704,Pan retinal photocoagulation for diabetes,32,pan retinal photocoagulation for diabetes,Unclear,1
2476117016,499,Maturity onset diabetes in youth type 1,32,maturity onset diabetes in youth type 1,Type 1 DM,1
2532967014,4440,Clinically significant macular oedema of right eye due to diabetes mellitus,27,clinically significant macular oedema of right eye due to diabetes mellitus,Unclear,1
2532974016,1040,Transition of diabetes care options discussed,32,transition of diabetes care options discussed,Unclear,1
2532976019,1222,O/E - left chronic diabetic foot ulcer,27,o/e - left chronic diabetic foot ulcer,Unclear,1
2532977011,992,O/E - right chronic diabetic foot ulcer,27,o/e - right chronic diabetic foot ulcer,Unclear,1
2533102013,73905,Attended diabetes structured education programme,37,attended diabetes structured education programme,Unclear,1
2533106011,1675,Referral to diabetes preconception counselling clinic,40,referral to diabetes preconception counselling clinic,Unclear,1
2533107019,71589,Patient diabetes education review,17,patient diabetes education review,Unclear,1
2533110014,749026,Referral to diabetes structured education programme,40,referral to diabetes structured education programme,Unclear,1
2548205017,103255,Diabetic retinopathy screening offered,1,diabetic retinopathy screening offered,Unclear,1
2548271013,1732014,Agreeing on diabetes care plan,32,agreeing on diabetes care plan,Unclear,1
2548430017,3391,Discharged from care of diabetes specialist nurse,40,discharged from care of diabetes specialist nurse,Unclear,1
2548633012,4006,Provision of patient held diabetes record refused,32,provision of patient held diabetes record refused,Unclear,1
2549069011,52775,Seen in community diabetes specialist clinic,37,seen in community diabetes specialist clinic,Unclear,1
2549196011,103268,Patient offered diabetes structured education programme,17,patient offered diabetes structured education programme,Unclear,1
2549222013,47189,Seen in community diabetic specialist nurse clinic,37,seen in community diabetic specialist nurse clinic,Unclear,1
2549778010,16685,Seen in diabetic nurse consultant clinic,37,seen in diabetic nurse consultant clinic,Unclear,1
2549896013,166,O/E - sight threatening diabetic retinopathy,27,o/e - sight threatening diabetic retinopathy,Unclear,1
2549901010,64070,Diabetic patient unsuitable for digital retinal photography,37,diabetic patient unsuitable for digital retinal photography,Unclear,1
2622193012,61909,Diabetes mellitus with ketoacidosis,32,diabetes mellitus with ketoacidosis,Unclear,1
2674067015,9782,Latent autoimmune diabetes mellitus in adult,32,latent autoimmune diabetes mellitus in adult,Unclear,1
2693189019,345824,Health education - diabetes,17,health education - diabetes,Unclear,1
2817479019,141,Hyperglycaemic crisis in diabetes mellitus,32,hyperglycaemic crisis in diabetes mellitus,Unclear,1
2967831017,12,Pre-existing type 1 diabetes mellitus in pregnancy,32,pre-existing type 1 diabetes mellitus in pregnancy,Type 1 DM,1
3330160012,539,HHS - Hyperosmolar hyperglycaemic syndrome,32,hhs - hyperosmolar hyperglycaemic syndrome,Unclear,1
3511972010,12,Diabetic education service,31,diabetic education service,Unclear,1
3513752015,1,Absence of lower limb due to diabetes mellitus,31,absence of lower limb due to diabetes mellitus,Unclear,1
3514795011,4,Hyperosmolar hyperglycaemic coma due to diabetes mellitus without ketoacidosis,31,hyperosmolar hyperglycaemic coma due to diabetes mellitus without ketoacidosis,Unclear,1
3515955014,2945,Diabetes self management plan,31,diabetes self management plan,Unclear,1
3516393017,1,Insulin infusion rate,31,insulin infusion rate,Unclear,1
3527174019,1,Diabetes mellitus caused by chemical,32,diabetes mellitus caused by chemical,Unclear,1
3636751012,34,Acute complication with diabetes mellitus,32,acute complication with diabetes mellitus,Unclear,1
3636752017,1,Acute complication co-occurrent and due to diabetes mellitus,32,acute complication co-occurrent and due to diabetes mellitus,Unclear,1
13751000006117,353,Other specified diabetes mellitus with multiple comps,32,other specified diabetes mellitus with multiple comps,Unclear,1
