prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug_acei
1551841000033118,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,155793,zestoretic 10 tablets,zestoretic 10 tablets (atnahs pharma uk ltd),hydrochlorothiazide/ lisinopril,1
1551941000033114,Tablet/ Oral Tablet,Oral,10.000mg,294180,zestril 10mg tablets,zestril 10mg tablets (atnahs pharma uk ltd),lisinopril,1
1552041000033115,Tablet/ Oral Tablet,Oral,2.500mg,124406,zestril 2.5mg tablets,zestril 2.5mg tablets (astrazeneca uk ltd),lisinopril,1
1552141000033116,Tablet/ Oral Tablet,Oral,20.000mg,248531,zestril 20mg tablets,zestril 20mg tablets (atnahs pharma uk ltd),lisinopril,1
1552241000033111,Tablet/ Oral Tablet,Oral,5.000mg,271198,zestril 5mg tablets,zestril 5mg tablets (atnahs pharma uk ltd),lisinopril,1
1552341000033118,Tablet/ Oral Tablet,Oral,12.500mg + 20.000mg,368408,zestoretic 20 tablets,zestoretic 20 tablets (atnahs pharma uk ltd),hydrochlorothiazide/ lisinopril,1
1622041000033110,Tablet/ Oral Tablet,Oral,12.500mg,272,kaplon 12.5mg tablets,kaplon 12.5mg tablets (teva uk ltd),captopril,1
1622141000033114,Tablet/ Oral Tablet,Oral,25.000mg,427,kaplon 25mg tablets,kaplon 25mg tablets (teva uk ltd),captopril,1
1622241000033119,Tablet/ Oral Tablet,Oral,50.000mg,218,kaplon 50mg tablets,kaplon 50mg tablets (teva uk ltd),captopril,1
1739741000033112,Tablet/ Oral Tablet,Oral,10.000mg,92603,imidapril 10mg tablets,imidapril 10mg tablets,imidapril hydrochloride,1
1739841000033119,Tablet/ Oral Tablet,Oral,5.000mg,38764,imidapril 5mg tablets,imidapril 5mg tablets,imidapril hydrochloride,1
1753841000033118,Tablet/ Oral Tablet,Oral,10.000mg,2885,tanatril 10mg tablets,tanatril 10mg tablets (northumbria pharma ltd),imidapril hydrochloride,1
1753941000033114,Tablet/ Oral Tablet,Oral,5.000mg,2044,tanatril 5mg tablets,tanatril 5mg tablets (northumbria pharma ltd),imidapril hydrochloride,1
1769841000033111,Capsule/ Oral capsule,Oral,10.000mg,52680161,ramipril 10mg capsules,ramipril 10mg capsules,ramipril,1
1769941000033115,Capsule/ Oral capsule,Oral,10.000mg,7218,tritace 10mg capsules,tritace 10mg capsules (sanofi),ramipril,1
1834341000033110,Modified-release tablet,Oral,5.000mg + 5.000mg,7775,triapin 5mg/5mg modified-release tablets,triapin 5mg/5mg modified-release tablets (sanofi),felodipine/ ramipril,1
1893141000033119,Tablet/ Oral Tablet,Oral,25.000mg + 12.500mg,3335,co-zidocapt 12.5mg/25mg tablets,co-zidocapt 12.5mg/25mg tablets,captopril/ hydrochlorothiazide,1
1893241000033114,Tablet/ Oral Tablet,Oral,50.000mg + 25.000mg,45739,co-zidocapt 25mg/50mg tablets,co-zidocapt 25mg/50mg tablets,captopril/ hydrochlorothiazide,1
1918641000033112,Tablet/ Oral Tablet,Oral,2.500mg,48,pralenal 2.5 tablets,pralenal 2.5 tablets (opus pharmaceuticals ltd),enalapril maleate,1
1918741000033115,Tablet/ Oral Tablet,Oral,5.000mg,160,pralenal 5 tablets,pralenal 5 tablets (opus pharmaceuticals ltd),enalapril maleate,1
1918841000033113,Tablet/ Oral Tablet,Oral,10.000mg,142,pralenal 10 tablets,pralenal 10 tablets (opus pharmaceuticals ltd),enalapril maleate,1
1918941000033117,Tablet/ Oral Tablet,Oral,20.000mg,120,pralenal 20 tablets,pralenal 20 tablets (opus pharmaceuticals ltd),enalapril maleate,1
209241000033119,Tablet/ Oral Tablet,Oral,25.000mg + 12.500mg,10928,capozide ls 12.5mg/25mg tablets,capozide ls 12.5mg/25mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril/ hydrochlorothiazide,1
209841000033115,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,11350,carace 10 plus tablets,carace 10 plus tablets (organon pharma (uk) ltd),hydrochlorothiazide/ lisinopril,1
210541000033113,,,,531,,captopril  tablets  1 mg,,1
210741000033117,,,,5207,,captopril  tablets  2 mg,,1
213441000033119,Tablet/ Oral Tablet,Oral,12.500mg,1427496,captopril 12.5mg tablets,captopril 12.5mg tablets,captopril,1
214141000033113,Tablet/ Oral Tablet,Oral,12.500mg,127616,capoten 12.5mg tablets,capoten 12.5mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril,1
214241000033118,Tablet/ Oral Tablet,Oral,25.000mg,222690,capoten 25mg tablets,capoten 25mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril,1
214341000033111,Tablet/ Oral Tablet,Oral,50.000mg,92743,capoten 50mg tablets,capoten 50mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril,1
214441000033117,Tablet/ Oral Tablet,Oral,25.000mg,1821682,captopril 25mg tablets,captopril 25mg tablets,captopril,1
214541000033116,Tablet/ Oral Tablet,Oral,50.000mg,1068362,captopril 50mg tablets,captopril 50mg tablets,captopril,1
2145741000033116,Tablet/ Oral Tablet,Oral,20.000mg,1228,tanatril 20mg tablets,tanatril 20mg tablets (northumbria pharma ltd),imidapril hydrochloride,1
2145841000033114,Tablet/ Oral Tablet,Oral,20.000mg,43538,imidapril 20mg tablets,imidapril 20mg tablets,imidapril hydrochloride,1
215941000033111,Tablet/ Oral Tablet,Oral,10.000mg,41456,carace 10mg tablets,carace 10mg tablets (bristol-myers squibb pharmaceuticals ltd),lisinopril,1
216041000033118,Tablet/ Oral Tablet,Oral,2.500mg,18691,carace 2.5mg tablets,carace 2.5mg tablets (bristol-myers squibb pharmaceuticals ltd),lisinopril,1
216141000033119,Tablet/ Oral Tablet,Oral,20.000mg,31877,carace 20mg tablets,carace 20mg tablets (bristol-myers squibb pharmaceuticals ltd),lisinopril,1
216241000033114,Tablet/ Oral Tablet,Oral,5.000mg,40742,carace 5mg tablets,carace 5mg tablets (bristol-myers squibb pharmaceuticals ltd),lisinopril,1
216441000033110,Tablet/ Oral Tablet,Oral,50.000mg + 25.000mg,274545,capozide 25mg/50mg tablets,capozide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd),captopril/ hydrochlorothiazide,1
217041000033116,Tablet/ Oral Tablet,Oral,12.500mg + 20.000mg,36746,carace 20 plus tablets,carace 20 plus tablets (organon pharma (uk) ltd),hydrochlorothiazide/ lisinopril,1
258141000033110,Tablet/ Oral Tablet,Oral,1.000mg,27432,cilazapril 1mg tablets,cilazapril 1mg tablets,cilazapril monohydrate,1
258241000033115,Tablet/ Oral Tablet,Oral,2.500mg,31584,cilazapril 2.5mg tablets,cilazapril 2.5mg tablets,cilazapril monohydrate,1
258341000033113,,,,2465,,cilazapril  tablets  250 micrograms,,1
258441000033119,Tablet/ Oral Tablet,Oral,500.000microgram,13543,cilazapril 500microgram tablets,cilazapril 500microgram tablets,cilazapril monohydrate,1
258641000033117,Tablet/ Oral Tablet,Oral,5.000mg,50167,cilazapril 5mg tablets,cilazapril 5mg tablets,cilazapril monohydrate,1
2656341000033110,Oral suspension,Oral,1.000mg/1.000ml,7691,captopril 5mg/5ml oral suspension,captopril 5mg/5ml oral suspension,captopril,1
2719841000033113,Oral suspension,Oral,4.000mg/1.000ml,932,captopril 20mg/5ml oral suspension,captopril 20mg/5ml oral suspension,captopril,1
2724541000033115,,,,68006,,"ramipril  titration pack  7 x 2.5 mg, 21 x 5 mg, 7 x 10 mg",,1
2739541000033117,Tablet/ Oral Tablet,Oral,1.250mg + 4.000mg,58252,coversyl plus tablets,coversyl plus tablets (servier laboratories ltd),indapamide/ perindopril erbumine,1
2846641000033111,Tablet/ Oral Tablet,Oral,8.000mg,8211,coversyl 8mg tablets,coversyl 8mg tablets (servier laboratories ltd),perindopril erbumine,1
2846741000033119,Tablet/ Oral Tablet,Oral,8.000mg,10986970,perindopril erbumine 8mg tablets,perindopril erbumine 8mg tablets,perindopril erbumine,1
2883341000033118,Oral suspension,Oral,1.000mg/1.000ml,9100,ramipril 5mg/5ml oral suspension,ramipril 5mg/5ml oral suspension,ramipril,1
2928341000033114,Tablet/ Oral Tablet,Oral,12.500mg,45,tensopril 12.5mg tablets,tensopril 12.5mg tablets (teva uk ltd),captopril,1
2928441000033115,Tablet/ Oral Tablet,Oral,25.000mg,80,tensopril 25mg tablets,tensopril 25mg tablets (teva uk ltd),captopril,1
2928541000033119,Tablet/ Oral Tablet,Oral,50.000mg,31,tensopril 50mg tablets,tensopril 50mg tablets (teva uk ltd),captopril,1
2945841000033112,Tablet/ Oral Tablet,Oral,12.500mg,5,ecopace 12.5mg tablets,ecopace 12.5mg tablets (advanz pharma),captopril,1
2945941000033116,Tablet/ Oral Tablet,Oral,25.000mg,8,ecopace 25mg tablets,ecopace 25mg tablets (advanz pharma),captopril,1
2946041000033114,Tablet/ Oral Tablet,Oral,50.000mg,1,ecopace 50mg tablets,ecopace 50mg tablets (advanz pharma),captopril,1
2989541000033115,Tablet/ Oral Tablet,Oral,1.250mg,768946,ramipril 1.25mg tablets,ramipril 1.25mg tablets,ramipril,1
2989641000033119,Tablet/ Oral Tablet,Oral,2.500mg,1954334,ramipril 2.5mg tablets,ramipril 2.5mg tablets,ramipril,1
2989741000033111,Tablet/ Oral Tablet,Oral,5.000mg,1795339,ramipril 5mg tablets,ramipril 5mg tablets,ramipril,1
2989841000033118,Tablet/ Oral Tablet,Oral,10.000mg,2072523,ramipril 10mg tablets,ramipril 10mg tablets,ramipril,1
2989941000033114,Tablet/ Oral Tablet,Oral,1.250mg,13475,tritace 1.25mg tablets,tritace 1.25mg tablets (sanofi),ramipril,1
2990041000033116,Tablet/ Oral Tablet,Oral,2.500mg,28440,tritace 2.5mg tablets,tritace 2.5mg tablets (sanofi),ramipril,1
2990141000033117,Tablet/ Oral Tablet,Oral,5.000mg,42129,tritace 5mg tablets,tritace 5mg tablets (sanofi),ramipril,1
2990241000033112,Tablet/ Oral Tablet,Oral,10.000mg,46081,tritace 10mg tablets,tritace 10mg tablets (sanofi),ramipril,1
3012741000033115,Oral solution,Oral,5.000mg/1.000ml,9921,captopril 25mg/5ml oral solution,captopril 25mg/5ml oral solution,captopril,1
3014741000033111,Capsule/ Oral capsule,Oral,4.000mg,220568,trandolapril 4mg capsules,trandolapril 4mg capsules,trandolapril,1
3014841000033118,Capsule/ Oral capsule,Oral,4.000mg,3482,gopten 4mg capsules,gopten 4mg capsules (abbott laboratories ltd),trandolapril,1
3136041000033117,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,7,caralpha 10mg/12.5mg tablets,caralpha 10mg/12.5mg tablets (actavis uk ltd),hydrochlorothiazide/ lisinopril,1
3136141000033118,Tablet/ Oral Tablet,Oral,12.500mg + 20.000mg,7,caralpha 20mg/12.5mg tablets,caralpha 20mg/12.5mg tablets (actavis uk ltd),hydrochlorothiazide/ lisinopril,1
3152141000033115,Oral suspension,Oral,1.000mg/1.000ml,7315,lisinopril 5mg/5ml oral suspension,lisinopril 5mg/5ml oral suspension,lisinopril,1
3159741000033111,Capsule/ Oral capsule,Oral,2.500mg,51592,lopace 2.5mg capsules,lopace 2.5mg capsules (discovery pharmaceuticals),ramipril,1
3159841000033118,Capsule/ Oral capsule,Oral,5.000mg,69790,lopace 5mg capsules,lopace 5mg capsules (discovery pharmaceuticals),ramipril,1
3159941000033114,Capsule/ Oral capsule,Oral,10.000mg,102226,lopace 10mg capsules,lopace 10mg capsules (discovery pharmaceuticals),ramipril,1
3160641000033118,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,20089,quinapril 10mg / hydrochlorothiazide 12.5mg tablets,quinapril 10mg / hydrochlorothiazide 12.5mg tablets,hydrochlorothiazide/ quinapril hydrochloride,1
3160841000033117,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,418669,lisinopril 10mg / hydrochlorothiazide 12.5mg tablets,lisinopril 10mg / hydrochlorothiazide 12.5mg tablets,hydrochlorothiazide/ lisinopril,1
3160941000033113,Tablet/ Oral Tablet,Oral,12.500mg + 20.000mg,988029,lisinopril 20mg / hydrochlorothiazide 12.5mg tablets,lisinopril 20mg / hydrochlorothiazide 12.5mg tablets,hydrochlorothiazide/ lisinopril,1
3161641000033114,Tablet/ Oral Tablet,Oral,1.250mg + 4.000mg,299870,perindopril erbumine 4mg / indapamide 1.25mg tablets,perindopril erbumine 4mg / indapamide 1.25mg tablets,indapamide/ perindopril erbumine,1
3162241000033117,Tablet/ Oral Tablet,Oral,20.000mg + 12.500mg,105387,enalapril 20mg / hydrochlorothiazide 12.5mg tablets,enalapril 20mg / hydrochlorothiazide 12.5mg tablets,enalapril maleate/ hydrochlorothiazide,1
3163041000033116,Modified-release capsule,Oral,2.000mg + 180.000mg,10583,verapamil 180mg modified-release / trandolapril 2mg capsules,verapamil 180mg modified-release / trandolapril 2mg capsules,trandolapril/ verapamil hydrochloride,1
3163241000033112,Modified-release tablet,Oral,5.000mg + 5.000mg,60869,felodipine 5mg modified-release / ramipril 5mg tablets,felodipine 5mg modified-release / ramipril 5mg tablets,felodipine/ ramipril,1
3163341000033119,Modified-release tablet,Oral,2.500mg + 2.500mg,9872,felodipine 2.5mg modified-release / ramipril 2.5mg tablets,felodipine 2.5mg modified-release / ramipril 2.5mg tablets,felodipine/ ramipril,1
3279241000033117,Oral suspension,Oral,1.000mg/1.000ml,2669,enalapril 5mg/5ml oral suspension sugar free,enalapril 5mg/5ml oral suspension sugar free,enalapril maleate,1
3279541000033115,Tablet/ Oral Tablet,Oral,12.500mg + 10.000mg,21,lisicostad 10mg/12.5mg tablets,lisicostad 10mg/12.5mg tablets (genus pharmaceuticals ltd),hydrochlorothiazide/ lisinopril,1
3279641000033119,Tablet/ Oral Tablet,Oral,12.500mg + 20.000mg,3,lisicostad 20mg/12.5mg tablets,lisicostad 20mg/12.5mg tablets (genus pharmaceuticals ltd),hydrochlorothiazide/ lisinopril,1
3283141000033118,Tablet/ Oral Tablet,Oral,5.000mg,1,quinil 5mg tablets,quinil 5mg tablets (tillomed laboratories ltd),quinapril hydrochloride,1
3333941000033117,Oral suspension,Oral,1.600mg/1.000ml,131,captopril 8mg/5ml oral suspension,captopril 8mg/5ml oral suspension,captopril,1
377541000033114,Tablet/ Oral Tablet,Oral,2.000mg,73270,coversyl 2mg tablets,coversyl 2mg tablets (servier laboratories ltd),perindopril erbumine,1
377641000033110,Tablet/ Oral Tablet,Oral,4.000mg,85377,coversyl 4mg tablets,coversyl 4mg tablets (servier laboratories ltd),perindopril erbumine,1
3851341000033117,Oral solution,Oral,600.000microgram/1.000ml,1059,captopril 3mg/5ml oral solution,captopril 3mg/5ml oral solution,captopril,1
3890041000033117,,,,186,,ramipril  powder for oral suspension with diluent (kit)  10 mg/5 ml,,1
3940841000033110,Capsule/ Oral capsule,Oral,2.000mg,223,captopril 2mg capsules,captopril 2mg capsules,captopril,1
4152241000033113,Oral suspension,Oral,250.000microgram/1.000ml,1416,ramipril 1.25mg/5ml oral suspension,ramipril 1.25mg/5ml oral suspension,ramipril,1
4153041000033114,,,,1386,,perindopril  oral suspension  8 mg/5 ml,,1
4453941000033114,Tablet/ Oral Tablet,Oral,2.500mg,32934,perindopril arginine 2.5mg tablets,perindopril arginine 2.5mg tablets,perindopril arginine,1
4454041000033111,Tablet/ Oral Tablet,Oral,5.000mg,68929,perindopril arginine 5mg tablets,perindopril arginine 5mg tablets,perindopril arginine,1
4454141000033110,Tablet/ Oral Tablet,Oral,10.000mg,78718,perindopril arginine 10mg tablets,perindopril arginine 10mg tablets,perindopril arginine,1
4454241000033115,Tablet/ Oral Tablet,Oral,2.500mg,34536,coversyl arginine 2.5mg tablets,coversyl arginine 2.5mg tablets (servier laboratories ltd),perindopril arginine,1
4454341000033113,Tablet/ Oral Tablet,Oral,5.000mg,48800,coversyl arginine 5mg tablets,coversyl arginine 5mg tablets (servier laboratories ltd),perindopril arginine,1
4454441000033119,Tablet/ Oral Tablet,Oral,10.000mg,18264,coversyl arginine 10mg tablets,coversyl arginine 10mg tablets (servier laboratories ltd),perindopril arginine,1
4454541000033118,Tablet/ Oral Tablet,Oral,1.250mg + 5.000mg,313098,perindopril arginine 5mg / indapamide 1.25mg tablets,perindopril arginine 5mg / indapamide 1.25mg tablets,indapamide/ perindopril arginine,1
4454641000033117,Tablet/ Oral Tablet,Oral,1.250mg + 5.000mg,85949,coversyl arginine plus 5mg/1.25mg tablets,coversyl arginine plus 5mg/1.25mg tablets (servier laboratories ltd),indapamide/ perindopril arginine,1
4805941000033114,Oral suspension,Oral,500.000microgram/1.000ml,5447,ramipril 2.5mg/5ml oral suspension,ramipril 2.5mg/5ml oral suspension,ramipril,1
5008141000033111,Oral suspension,Oral,2.000mg/1.000ml,348,captopril 10mg/5ml oral suspension,captopril 10mg/5ml oral suspension,captopril,1
5132041000033112,Oral suspension,Oral,5.000mg/1.000ml,3112,captopril 25mg/5ml oral suspension,captopril 25mg/5ml oral suspension,captopril,1
522641000033110,Tablet/ Oral Tablet,Oral,10.000mg,6603303,enalapril 10mg tablets,enalapril 10mg tablets,enalapril maleate,1
522741000033118,Tablet/ Oral Tablet,Oral,20.000mg,7626252,enalapril 20mg tablets,enalapril 20mg tablets,enalapril maleate,1
522841000033111,Tablet/ Oral Tablet,Oral,5.000mg,5132668,enalapril 5mg tablets,enalapril 5mg tablets,enalapril maleate,1
523541000033115,Tablet/ Oral Tablet,Oral,2.500mg,1896303,enalapril 2.5mg tablets,enalapril 2.5mg tablets,enalapril maleate,1
523741000033111,,,,850,,enalapril maleate  titration pack,,1
523941000033114,,,,607,,enalapril maleate  wafers  10 mg,,1
524041000033111,,,,327,,enalapril maleate  wafers  2.5 mg,,1
524141000033110,,,,886,,enalapril maleate  wafers  20 mg,,1
524241000033115,,,,1663,,enalapril maleate  wafers  5 mg,,1
524341000033113,,,,159,,enalapril maleate  wafers  10 mg,,1
524441000033119,,,,13,,enalapril maleate  wafers  2.5 mg,,1
524541000033118,,,,27,,enalapril maleate  wafers  20 mg,,1
524641000033117,,,,88,,enalapril maleate  wafers  5 mg,,1
5401641000033118,Oral suspension,Oral,3.000mg/1.000ml,58,captopril 15mg/5ml oral suspension,captopril 15mg/5ml oral suspension,captopril,1
5454041000033117,Capsule/ Oral capsule,Oral,4.000mg,14,captopril 4mg capsules,captopril 4mg capsules,captopril,1
5568741000033113,Oral suspension,Oral,8.000mg/1.000ml,164,lisinopril 40mg/5ml oral suspension,lisinopril 40mg/5ml oral suspension,lisinopril,1
5595341000033117,,,,17,,captopril  oral suspension sugar free  2 mg/ml,,1
5887841000033118,Oral solution,Oral,2.000mg/1.000ml,790,ramipril 10mg/5ml oral solution,ramipril 10mg/5ml oral solution,ramipril,1
5887941000033114,Oral suspension,Oral,2.000mg/1.000ml,1508,ramipril 10mg/5ml oral suspension,ramipril 10mg/5ml oral suspension,ramipril,1
5888241000033116,,,,876,,perindopril  oral suspension  4 mg/5 ml,,1
5890241000033117,Oral solution,Oral,1.000mg/1.000ml,5356,lisinopril 5mg/5ml oral solution,lisinopril 5mg/5ml oral solution,lisinopril,1
5890341000033110,Oral solution,Oral,1.000mg/1.000ml,1090,ramipril 5mg/5ml oral solution,ramipril 5mg/5ml oral solution,ramipril,1
5890541000033115,Oral solution,Oral,500.000microgram/1.000ml,312,ramipril 2.5mg/5ml oral solution,ramipril 2.5mg/5ml oral solution,ramipril,1
5898741000033114,Oral solution,Oral,2.500mg/1.000ml,122,captopril 12.5mg/5ml oral solution,captopril 12.5mg/5ml oral solution,captopril,1
5898841000033116,Oral suspension,Oral,2.500mg/1.000ml,118,captopril 12.5mg/5ml oral suspension,captopril 12.5mg/5ml oral suspension,captopril,1
5898941000033112,Oral solution,Oral,1.250mg/1.000ml,48,captopril 6.25mg/5ml oral solution,captopril 6.25mg/5ml oral solution,captopril,1
5899041000033115,Oral suspension,Oral,1.250mg/1.000ml,81,captopril 6.25mg/5ml oral suspension,captopril 6.25mg/5ml oral suspension,captopril,1
5967041000033117,Oral solution,Oral,2.000mg/1.000ml,140,enalapril 10mg/5ml oral solution,enalapril 10mg/5ml oral solution,enalapril maleate,1
5967141000033118,Oral suspension,Oral,2.000mg/1.000ml,268,enalapril 10mg/5ml oral suspension,enalapril 10mg/5ml oral suspension,enalapril maleate,1
5971341000033117,Oral solution,Oral,500.000microgram/1.000ml,637,lisinopril 2.5mg/5ml oral solution,lisinopril 2.5mg/5ml oral solution,lisinopril,1
5971441000033111,Oral suspension,Oral,500.000microgram/1.000ml,237,lisinopril 2.5mg/5ml oral suspension,lisinopril 2.5mg/5ml oral suspension,lisinopril,1
5971541000033112,Oral solution,Oral,1.500mg/1.000ml,61,lisinopril 7.5mg/5ml oral solution,lisinopril 7.5mg/5ml oral solution,lisinopril,1
5971641000033113,Oral suspension,Oral,1.500mg/1.000ml,133,lisinopril 7.5mg/5ml oral suspension,lisinopril 7.5mg/5ml oral suspension,lisinopril,1
5992541000033111,Oral solution,Oral,1.000mg/1.000ml,3835,enalapril 5mg/5ml oral solution,enalapril 5mg/5ml oral solution,enalapril maleate,1
5992641000033112,Oral suspension,Oral,1.000mg/1.000ml,1422,enalapril 5mg/5ml oral suspension,enalapril 5mg/5ml oral suspension,enalapril maleate,1
5997541000033113,,,,30,,perindopril  oral solution  8 mg/5 ml,,1
5998241000033112,Oral solution,Oral,250.000microgram/1.000ml,289,ramipril 1.25mg/5ml oral solution,ramipril 1.25mg/5ml oral solution,ramipril,1
6001041000033115,Oral solution,Oral,1.000mg/1.000ml,3009,captopril 5mg/5ml oral solution,captopril 5mg/5ml oral solution,captopril,1
6012441000033118,Oral solution,Oral,250.000microgram/1.000ml,537,enalapril 1.25mg/5ml oral solution,enalapril 1.25mg/5ml oral solution,enalapril maleate,1
