prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug_statin
3292641000033119,Tablet/ Oral Tablet,Oral,10.000mg + 80.000mg,41480,simvastatin 80mg / ezetimibe 10mg tablets,simvastatin 80mg / ezetimibe 10mg tablets,ezetimibe/ simvastatin,1
3292741000033111,Tablet/ Oral Tablet,Oral,10.000mg + 20.000mg,10807,inegy 10mg/20mg tablets,inegy 10mg/20mg tablets (organon pharma (uk) ltd),ezetimibe/ simvastatin,1
3292841000033118,Tablet/ Oral Tablet,Oral,10.000mg + 40.000mg,15040,inegy 10mg/40mg tablets,inegy 10mg/40mg tablets (organon pharma (uk) ltd),ezetimibe/ simvastatin,1
3292941000033114,Tablet/ Oral Tablet,Oral,10.000mg + 80.000mg,2451,inegy 10mg/80mg tablets,inegy 10mg/80mg tablets (organon pharma (uk) ltd),ezetimibe/ simvastatin,1
3304141000033110,Oral suspension,Oral,4.000mg/1.000ml,17033,simvastatin 20mg/5ml oral suspension,simvastatin 20mg/5ml oral suspension,simvastatin,1
3836041000033114,Tablet/ Oral Tablet,Oral,5.000mg,3629649,rosuvastatin 5mg tablets,rosuvastatin 5mg tablets,rosuvastatin calcium,1
3836141000033113,Tablet/ Oral Tablet,Oral,5.000mg,41405,crestor 5mg tablets,crestor 5mg tablets (astrazeneca uk ltd),rosuvastatin calcium,1
3868741000033118,Oral suspension,Oral,4.000mg/1.000ml,4695,atorvastatin 20mg/5ml oral suspension,atorvastatin 20mg/5ml oral suspension,atorvastatin calcium trihydrate,1
4152341000033115,Oral suspension,Oral,8.000mg/1.000ml,8440,simvastatin 40mg/5ml oral suspension,simvastatin 40mg/5ml oral suspension,simvastatin,1
4941641000033116,Tablet/ Oral Tablet,Oral,80.000mg,4066,simvador 80mg tablets,simvador 80mg tablets (dexcel-pharma ltd),simvastatin,1
5007141000033112,Modified-release tablet,Oral,80.000mg,36,luvinsta xl 80mg tablets,luvinsta xl 80mg tablets (actavis uk ltd),fluvastatin sodium,1
5711041000033117,Oral suspension,Oral,8.000mg/1.000ml,283,pravastatin 40mg/5ml oral suspension,pravastatin 40mg/5ml oral suspension,pravastatin sodium,1
5711841000033112,Modified-release tablet,Oral,80.000mg,13,dorisin xl 80mg tablets,dorisin xl 80mg tablets (aspire pharma ltd),fluvastatin sodium,1
578641000033114,Capsule/ Oral capsule,Oral,20.000mg,818589,fluvastatin 20mg capsules,fluvastatin 20mg capsules,fluvastatin sodium,1
578741000033117,Capsule/ Oral capsule,Oral,40.000mg,929608,fluvastatin 40mg capsules,fluvastatin 40mg capsules,fluvastatin sodium,1
5817741000033114,Oral suspension,Oral,4.000mg/1.000ml,18690,simvastatin 20mg/5ml oral suspension sugar free,simvastatin 20mg/5ml oral suspension sugar free,simvastatin,1
5817841000033116,Oral suspension,Oral,8.000mg/1.000ml,24708,simvastatin 40mg/5ml oral suspension sugar free,simvastatin 40mg/5ml oral suspension sugar free,simvastatin,1
5888441000033115,Oral solution,Oral,4.000mg/1.000ml,5,simvastatin 20mg/5ml oral solution,simvastatin 20mg/5ml oral solution,simvastatin,1
5888541000033119,Oral solution,Oral,8.000mg/1.000ml,110,simvastatin 40mg/5ml oral solution,simvastatin 40mg/5ml oral solution,simvastatin,1
5897741000033110,Oral suspension,Oral,2.000mg/1.000ml,292,atorvastatin 10mg/5ml oral suspension,atorvastatin 10mg/5ml oral suspension,atorvastatin calcium trihydrate,1
5897841000033117,Oral solution,Oral,2.000mg/1.000ml,1118,atorvastatin 10mg/5ml oral solution,atorvastatin 10mg/5ml oral solution,atorvastatin calcium trihydrate,1
5990541000033112,Oral solution,Oral,4.000mg/1.000ml,1467,atorvastatin 20mg/5ml oral solution,atorvastatin 20mg/5ml oral solution,atorvastatin calcium trihydrate,1
6468641000033113,Chewable tablet,Oral,10.000mg,21871,atorvastatin 10mg chewable tablets sugar free,atorvastatin 10mg chewable tablets sugar free,atorvastatin calcium trihydrate,1
6468841000033114,Chewable tablet,Oral,20.000mg,46137,atorvastatin 20mg chewable tablets sugar free,atorvastatin 20mg chewable tablets sugar free,atorvastatin calcium trihydrate,1
6469041000033110,Chewable tablet,Oral,10.000mg,1657,lipitor 10mg chewable tablets,lipitor 10mg chewable tablets (viatris uk healthcare ltd),atorvastatin calcium trihydrate,1
6469141000033114,Chewable tablet,Oral,20.000mg,2325,lipitor 20mg chewable tablets,lipitor 20mg chewable tablets (viatris uk healthcare ltd),atorvastatin calcium trihydrate,1
7861441000033110,Tablet/ Oral Tablet,Oral,30.000mg,19656,atorvastatin 30mg tablets,atorvastatin 30mg tablets,atorvastatin calcium trihydrate,1
7861541000033111,Tablet/ Oral Tablet,Oral,60.000mg,41678,atorvastatin 60mg tablets,atorvastatin 60mg tablets,atorvastatin calcium trihydrate,1
819941000033119,Capsule/ Oral capsule,Oral,20.000mg,30985,lescol 20mg capsules,lescol 20mg capsules (novartis pharmaceuticals uk ltd),fluvastatin sodium,1
820041000033116,Capsule/ Oral capsule,Oral,40.000mg,19534,lescol 40mg capsules,lescol 40mg capsules (novartis pharmaceuticals uk ltd),fluvastatin sodium,1
834841000033118,Tablet/ Oral Tablet,Oral,10.000mg,131606,lipostat 10mg tablets,lipostat 10mg tablets (bristol-myers squibb pharmaceuticals ltd),pravastatin sodium,1
834941000033114,Tablet/ Oral Tablet,Oral,20.000mg,88629,lipostat 20mg tablets,lipostat 20mg tablets (bristol-myers squibb pharmaceuticals ltd),pravastatin sodium,1
836241000033113,Tablet/ Oral Tablet,Oral,10.000mg,286370,lipitor 10mg tablets,lipitor 10mg tablets (viatris uk healthcare ltd),atorvastatin calcium trihydrate,1
836341000033115,Tablet/ Oral Tablet,Oral,20.000mg,187761,lipitor 20mg tablets,lipitor 20mg tablets (viatris uk healthcare ltd),atorvastatin calcium trihydrate,1
836441000033114,Tablet/ Oral Tablet,Oral,40.000mg,105492,lipitor 40mg tablets,lipitor 40mg tablets (viatris uk healthcare ltd),atorvastatin calcium trihydrate,1
836541000033110,Tablet/ Oral Tablet,Oral,40.000mg,44960,lipostat 40mg tablets,lipostat 40mg tablets (bristol-myers squibb pharmaceuticals ltd),pravastatin sodium,1
8493841000033111,Oral solution,Oral,1.000mg/1.000ml,26,pravastatin 5mg/5ml oral solution,pravastatin 5mg/5ml oral solution,pravastatin sodium,1
8962441000033117,Modified-release tablet,Oral,80.000mg,2,nandovar xl 80mg tablets,nandovar xl 80mg tablets (sandoz ltd),fluvastatin sodium,1
91941000033117,Tablet/ Oral Tablet,Oral,10.000mg,34810376,atorvastatin 10mg tablets,atorvastatin 10mg tablets,atorvastatin calcium trihydrate,1
92041000033111,Tablet/ Oral Tablet,Oral,20.000mg,67781488,atorvastatin 20mg tablets,atorvastatin 20mg tablets,atorvastatin calcium trihydrate,1
92141000033110,Tablet/ Oral Tablet,Oral,40.000mg,48486319,atorvastatin 40mg tablets,atorvastatin 40mg tablets,atorvastatin calcium trihydrate,1
