medcodeid,cleansedreadcode,term,cancer_cprd
4745551000006110,,malignant tumour of anterior two-thirds of tongue - dorsal surface,1
4745571000006117,,malignant tumor of anterior two-thirds of tongue - dorsal surface,1
4745621000006119,,malignant tumour of anterior two-thirds of tongue - ventral surface,1
4745641000006114,,malignant tumor of anterior two-thirds of tongue - ventral surface,1
4745651000006111,,malignant tumour of fraenum linguae,1
4745661000006113,,malignant tumor of frenum linguae,1
6243641000006111,,malignant tumor of tongue,1
6243651000006113,,ca - cancer of tongue,1
6243661000006110,,cancer of tongue,1
6243671000006115,,malignant tumour of base of tongue,1
6243691000006119,,malignant tumour of posterior third of tongue,1
6243701000006119,,malignant tumour of fixed part of tongue,1
6243711000006116,,malignant tumour of tongue posterior to vallate papillae,1
6243721000006112,,malignant tumor of fixed part of tongue,1
6243731000006110,,malignant tumor of tongue posterior to vallate papillae,1
6243741000006117,,malignant tumor of posterior third of tongue,1
6243761000006118,,malignant tumour of lingual tonsil,1
6243771000006113,,malignant tumor of lingual tonsil,1
721311000006114,B01..00,malignant neoplasm of tongue,1
879691000006112,B01..99,tongue carcinoma,1
288412014,B010z00,malignant neoplasm of fixed part of tongue nos,1
155211011,B011.00,malignant neoplasm of dorsal surface of tongue,1
288414010,B011000,malignant neoplasm of anterior 2/3 of tongue dorsal surface,1
288417015,B011100,malignant neoplasm of midline of tongue,1
288418013,B011z00,malignant neoplasm of dorsum of tongue nos,1
155669014,B013.00,malignant neoplasm of ventral surface of tongue,1
288423013,B013000,malignant neoplasm of anterior 2/3 of tongue ventral surface,1
288427014,B013100,malignant neoplasm of frenulum linguae,1
288429012,B013z00,malignant neoplasm of ventral tongue surface nos,1
724881000006110,B016.00,malignant neoplasm of lingual tonsil,1
1219531013,B017.00,malignant overlapping lesion of tongue,1
288434011,B01y.00,malignant neoplasm of other sites of tongue,1
6243901000006116,,malignant tumour of gum,1
6243911000006118,,malignant tumor of gum,1
6243921000006114,,malignant tumour of alveolar mucosa,1
6243931000006112,,malignant tumour of gingiva,1
6243941000006119,,malignant tumor of alveolar mucosa,1
6243951000006117,,malignant tumor of gingiva,1
6243961000006115,,cancer of gum,1
6243971000006110,,ca - cancer of gum,1
6243981000006113,,malignant tumour of upper gingiva,1
6243991000006111,,malignant tumor of upper gingiva,1
6244001000006119,,malignant tumour of upper gum,1
6244011000006116,,malignant tumor of upper gum,1
6244021000006112,,malignant tumour of lower gingiva,1
6244031000006110,,malignant tumor of lower gingiva,1
6244041000006117,,malignant tumour of lower gum,1
6244051000006115,,malignant tumor of lower gum,1
725861000006118,B03..00,malignant neoplasm of gum,1
879711000006110,B03..99,"ca gum, + rest of mouth",1
720761000006115,B030.00,malignant neoplasm of upper gum,1
724311000006111,B031.00,malignant neoplasm of lower gum,1
288439018,B03y.00,malignant neoplasm of other sites of gum,1
288440016,B03z.00,malignant neoplasm of gum nos,1
4170401000006111,,overlapping malignant neoplasm of floor of mouth,1
4170421000006118,,"cancer of the floor of mouth, overlapping sites",1
4745711000006119,,malignant tumour of anterior floor of mouth,1
4745721000006110,,malignant tumor of anterior floor of mouth,1
4745741000006115,,malignant tumour of lateral floor of mouth,1
4745761000006116,,malignant tumor of lateral floor of mouth,1
6244071000006113,,malignant tumor of floor of mouth,1
6244081000006111,,fom - malignant tumour of floor of mouth,1
6244091000006114,,fom - malignant tumor of floor of mouth,1
6244101000006115,,fom - cancer of floor of mouth,1
6244111000006117,,cancer of floor of mouth,1
6244121000006113,,ca - cancer of floor of mouth,1
6247711000006111,,malignant tumour of oral cavity,1
6247721000006115,,malignant tumor of oral cavity,1
6247761000006114,,ca - mouth cancer,1
725611000006117,B04..00,malignant neoplasm of floor of mouth,1
288443019,B040.00,malignant neoplasm of anterior portion of floor of mouth,1
288444013,B041.00,malignant neoplasm of lateral portion of floor of mouth,1
1219533011,B042.00,"malignant neoplasm, overlapping lesion of floor of mouth",1
288448011,B04y.00,malignant neoplasm of other sites of floor of mouth,1
288449015,B04z.00,malignant neoplasm of floor of mouth nos,1
288473011,B05y.00,malignant neoplasm of other specified mouth parts,1
4746011000006113,,malignant tumor of palatopharyngeal arch,1
4746021000006117,,malignant tumor of pharyngopalatine arch,1
4746041000006112,,malignant tumor of posterior tonsillar pillar,1
5344681000006113,,malignant tumor of anterior pillar of fauces,1
5344691000006111,,malignant tumour of anterior faucial pillar,1
5344701000006111,,malignant tumour of anterior tonsillar pillar,1
5344711000006114,,malignant tumour of palatoglossal arch,1
5344721000006118,,malignant tumor of palatoglossal arch,1
5344731000006115,,malignant tumor of anterior tonsillar pillar,1
5344741000006113,,malignant tumor of anterior faucial pillar,1
6244241000006110,,malignant tumour of hard palate,1
6244251000006112,,malignant tumor of hard palate,1
6244261000006114,,malignant tumour of soft palate,1
6244271000006119,,malignant tumor of soft palate,1
6244281000006116,,malignant tumour of uvula,1
6244291000006118,,malignant tumor of uvula,1
6244311000006119,,malignant tumor of palate,1
6244321000006110,,malignant tumour of roof of mouth,1
6244331000006113,,malignant tumor of roof of mouth,1
6244351000006118,,cancer of palate,1
6244361000006116,,ca - cancer of palate,1
725101000006111,B052.00,malignant neoplasm of hard palate,1
721621000006110,B053.00,malignant neoplasm of soft palate,1
721041000006111,B054.00,malignant neoplasm of uvula,1
288469013,B055.00,malignant neoplasm of palate unspecified,1
288470014,B055000,malignant neoplasm of junction of hard and soft palate,1
1228523014,B055100,malignant neoplasm of roof of mouth,1
288471013,B055z00,malignant neoplasm of palate nos,1
725811000006116,B062100,malignant neoplasm of glossopalatine fold,1
2475984012,B062200,malignant neoplasm of palatoglossal arch,1
723391000006115,B062300,malignant neoplasm of palatopharyngeal arch,1
11904891000006112,,overlapping lesion of other and unspecified parts of mouth,1
4745781000006114,,malignant tumor of vestibule of mouth,1
4745801000006113,,malignant tumour of upper buccal sulcus,1
4745821000006115,,malignant tumor of upper buccal sulcus,1
4745831000006117,,malignant tumour of lower buccal sulcus,1
4745841000006110,,malignant tumor of lower buccal sulcus,1
4747701000006110,,malignant tumour of nasal vestibule,1
4747711000006113,,malignant tumor of nasal vestibule,1
6244141000006118,,malignant tumour of buccal mucosa,1
6244151000006116,,malignant tumor of buccal mucosa,1
6244161000006119,,malignant tumour of internal cheek,1
6244171000006114,,malignant tumour of cheek mucosa,1
6244181000006112,,malignant tumor of internal cheek,1
6244191000006110,,malignant tumor of cheek mucosa,1
6244201000006113,,ca - cancer of cheek mucosa,1
6244211000006111,,ca - cancer of buccal mucosa,1
6244221000006115,,cancer of cheek mucosa,1
6244231000006117,,cancer of buccal mucosa,1
6244371000006111,,malignant tumour of retromolar area,1
6244381000006114,,malignant tumor of retromolar area,1
6247731000006117,,malignant tumour of mouth,1
6247741000006110,,malignant tumor of mouth,1
6247751000006112,,cancer of oral cavity,1
6247771000006119,,mouth cancer,1
6247781000006116,,malignant neoplasm of mouth,1
7347901000006115,,carcinoma of cheek,1
7347911000006117,,malignant epithelial neoplasm of cheek,1
907401000006110,,[rfc] cancer of the mouth,1
288450015,B05..00,malignant neoplasm of other and unspecified parts of mouth,1
727151000006117,B050.00,malignant neoplasm of cheek mucosa,1
727561000006112,B050.11,malignant neoplasm of buccal mucosa,1
288453018,B051.00,malignant neoplasm of vestibule of mouth,1
288454012,B051000,malignant neoplasm of upper buccal sulcus,1
288459019,B051100,malignant neoplasm of lower buccal sulcus,1
288468017,B051z00,malignant neoplasm of vestibule of mouth nos,1
722541000006111,B056.00,malignant neoplasm of retromolar area,1
288474017,B05z.00,malignant neoplasm of mouth nos,1
288775017,B200300,malignant neoplasm of vestibule of nose,1
289426010,B550100,malignant neoplasm of cheek nos,1
6243821000006117,,malignant tumor of parotid gland,1
6243831000006119,,cancer of parotid gland,1
6243841000006112,,ca - cancer of parotid gland,1
723501000006117,B020.00,malignant neoplasm of parotid gland,1
2773871000006111,,carcinoma ex pleomorphic adenoma,1
2773881000006114,,carcinoma in pleomorphic adenoma,1
4170301000006119,,overlapping malignant neoplasm of major salivary gland,1
4170321000006112,,cancer major salivary glands contiguous,1
6243791000006114,,malignant tumor of major salivary gland,1
6243851000006114,,malignant tumour of submandibular gland,1
6243861000006111,,malignant tumor of submandibular gland,1
6243881000006118,,malignant tumour of sublingual gland,1
6243891000006115,,malignant tumor of sublingual gland,1
1228510019,B02..00,malignant neoplasm of major salivary glands,1
879701000006112,B02..99,ca major salivary gland,1
1228513017,B021.00,malignant neoplasm of submandibular gland,1
721881000006113,B022.00,malignant neoplasm of sublingual gland,1
719931000006113,B023.00,"malignant neoplasm, overlapping lesion of major saliv gland",1
288437016,B02y.00,malignant neoplasm of other major salivary glands,1
288438014,B02z.00,malignant neoplasm of major salivary gland nos,1
482690017,B451.00,malignant neoplasm of labia majora,1
289210012,B451z00,malignant neoplasm of labia majora nos,1
1228188010,BB5y000,[m]basal cell adenocarcinoma,1
1221504012,BBLG.00,[m]carcinoma in pleomorphic adenoma,1
12762131000006117,,malignant tumor of tonsil,1
4173811000006119,,overlapping malignant neoplasm of palatine tonsil,1
4745931000006110,,malignant tumour of tonsillar pillar,1
4745941000006117,,malignant tumour of palatopharyngeal arch,1
4745951000006115,,malignant tumour of posterior tonsillar pillar,1
4745961000006118,,malignant tumour of pharyngopalatine arch,1
4745971000006113,,malignant tumour of posterior faucial pillar,1
4745981000006111,,malignant tumor of tonsillar pillar,1
4746031000006119,,malignant tumor of posterior faucial pillar,1
4746261000006115,,malignant tumour of adenoid,1
6244451000006113,,malignant tumour of tonsil,1
6244471000006115,,malignant tumour of palatine tonsil,1
6244481000006117,,malignant tumour of faucial tonsil,1
6244491000006119,,malignant tumor of faucial tonsil,1
6244501000006110,,malignant tumor of palatine tonsil,1
6244511000006113,,cancer of tonsil,1
6244541000006112,,ca - cancer of tonsil,1
6244561000006111,,malignant tumor of tonsillar fossa,1
721351000006110,B060.00,malignant neoplasm of tonsil,1
1228530015,B060000,malignant neoplasm of faucial tonsil,1
1228529013,B060100,malignant neoplasm of palatine tonsil,1
723321000006117,B060200,malignant neoplasm of overlapping lesion of tonsil,1
288478019,B060z00,malignant neoplasm tonsil nos,1
721361000006112,B061.00,malignant neoplasm of tonsillar fossa,1
288486019,B062.00,malignant neoplasm of tonsillar pillar,1
288485015,B062000,malignant neoplasm of faucial pillar,1
288505015,B062z00,malignant neoplasm of tonsillar fossa nos,1
288532013,B071100,malignant neoplasm of pharyngeal tonsil,1
4746111000006112,,malignant tumour of posterior wall of oropharynx,1
4746121000006116,,malignant tumor of posterior wall of oropharynx,1
4747901000006113,,malignant tumour of supraglottis,1
4747921000006115,,malignant tumor of supraglottis,1
6244401000006114,,malignant tumor of oropharynx,1
6244411000006112,,cancer of oropharynx,1
6244421000006116,,ca - cancer of oropharynx,1
6244431000006118,,malignant tumour of mesopharynx,1
6244441000006111,,malignant tumor of mesopharynx,1
6244571000006116,,malignant tumour of vallecula,1
6244581000006118,,malignant tumor of vallecula,1
6244591000006115,,malignant tumour of branchial cleft,1
6244601000006111,,malignant tumor of branchial cleft,1
6245701000006115,,malignant tumor of larynx,1
6245711000006117,,ca - cancer of larynx,1
6245721000006113,,laryngeal cancer,1
6245731000006111,,cancer of larynx,1
7361281000006119,,cancer of lateral wall of oropharynx,1
723571000006111,B06..00,malignant neoplasm of oropharynx,1
879721000006119,B06..99,ca oro/naso/hypopharynx,1
721481000006111,B063.00,malignant neoplasm of vallecula,1
288507011,B064000,"malignant neoplasm of epiglottis, free border",1
288509014,B064z00,malignant neoplasm of anterior epiglottis nos,1
288510016,B065.00,malignant neoplasm of junctional region of epiglottis,1
155332018,B066.00,malignant neoplasm of lateral wall of oropharynx,1
288515014,B067.00,malignant neoplasm of posterior wall of oropharynx,1
288516010,B06y.00,"malignant neoplasm of oropharynx, other specified sites",1
727531000006115,B06y000,malignant neoplasm of branchial cleft,1
288517018,B06yz00,malignant neoplasm of other specified site of oropharynx nos,1
288518011,B06z.00,malignant neoplasm of oropharynx nos,1
451428019,B215.00,malignant neoplasm of epiglottis nos,1
4163201000006114,,overlapping malignant neoplasm of nasopharynx,1
4163211000006112,,overlapping malignant neoplasm of nasopharyngeal wall,1
4746151000006113,,malignant tumor of epipharynx,1
4746161000006110,,malignant tumor of postnasal space,1
4746171000006115,,cancer of nasopharynx,1
4746191000006119,,ca - cancer of nasopharynx,1
4746201000006116,,malignant tumour of epipharynx,1
4746211000006118,,malignant tumour of postnasal space,1
4746221000006114,,malignant tumor of nasopharynx,1
4746251000006117,,malignant tumor of posterior wall of nasopharynx,1
4746271000006110,,malignant tumor of adenoid,1
4746301000006112,,malignant tumor of nasopharyngeal tonsil,1
4746311000006110,,malignant tumor of pharyngeal tonsil,1
4746321000006119,,malignant tumour of pharyngeal tonsil,1
4746331000006116,,malignant tumour of nasopharyngeal tonsil,1
4746431000006111,,malignant tumor of anterior wall of nasopharynx,1
4746461000006119,,malignant tumour of nasopharyngeal soft palate surface,1
4746471000006114,,malignant tumor of nasopharyngeal soft palate surface,1
6244611000006114,,malignant tumour of roof of nasopharynx,1
6244621000006118,,malignant tumor of roof of nasopharynx,1
6244631000006115,,malignant tumour of superior wall of nasopharynx,1
6244641000006113,,malignant tumor of superior wall of nasopharynx,1
6244671000006117,,malignant tumor of lateral wall of nasopharynx,1
288522018,B07..00,malignant neoplasm of nasopharynx,1
1228532011,B070.00,malignant neoplasm of roof of nasopharynx,1
288529010,B071.00,malignant neoplasm of posterior wall of nasopharynx,1
288533015,B071000,malignant neoplasm of adenoid,1
288541015,B071z00,malignant neoplasm of posterior wall of nasopharynx nos,1
724841000006116,B072.00,malignant neoplasm of lateral wall of nasopharynx,1
288550018,B072z00,malignant neoplasm of lateral wall of nasopharynx nos,1
288552014,B073.00,malignant neoplasm of anterior wall of nasopharynx,1
288554010,B073000,malignant neoplasm of floor of nasopharynx,1
288556012,B073100,malignant neoplasm of nasopharyngeal soft palate surface,1
288561014,B073z00,malignant neoplasm of anterior wall of nasopharynx nos,1
1219467016,B074.00,"malignant neoplasm, overlapping lesion of nasopharynx",1
288563012,B07y.00,malignant neoplasm of other specified site of nasopharynx,1
288564018,B07z.00,malignant neoplasm of nasopharynx nos,1
1217360013,B084.00,"malignant neoplasm, overlapping lesion of hypopharynx",1
6244771000006110,,malignant tumour of pyriform fossa,1
6244781000006113,,malignant tumor of pyriform fossa,1
6244791000006111,,malignant tumour of pyriform sinus,1
6244801000006112,,malignant tumor of pyriform sinus,1
722421000006115,B081.00,malignant neoplasm of pyriform sinus,1
4027531000006112,,primary malignant neoplasm of presacral region,1
4163231000006118,,overlapping malignant neoplasm of hypopharynx,1
4746081000006118,,malignant tumour of glossoepiglottic fold,1
4746091000006115,,malignant tumor of glossoepiglottic fold,1
4746491000006110,,malignant tumour aryepiglottic fold - hypopharyngeal aspect,1
4746501000006119,,malignant tumor aryepiglottic fold - hypopharyngeal aspect,1
6244691000006116,,malignant tumor of hypopharynx,1
6244701000006116,,malignant tumour of laryngopharynx,1
6244711000006118,,malignant tumor of laryngopharynx,1
6244731000006112,,malignant tumour of postcricoid region,1
6244741000006119,,malignant tumor of postcricoid region,1
6244751000006117,,malignant tumour of pharyngo-oesophageal junction,1
6244761000006115,,malignant tumor of pharyngoesophageal junction,1
288508018,B064100,malignant neoplasm of glossoepiglottic fold,1
725241000006116,B08..00,malignant neoplasm of hypopharynx,1
723031000006117,B080.00,malignant neoplasm of postcricoid region,1
727761000006116,B082.00,"malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",1
288570012,B08y.00,malignant neoplasm of other specified hypopharyngeal site,1
288571011,B08z.00,malignant neoplasm of hypopharynx nos,1
724781000006117,B0z2.00,malignant neoplasm of laryngopharynx,1
155477015,B553100,malignant neoplasm of presacral region,1
12719081000006110,,"malignant neoplasm of lip, oral cavity and pharynx nos",1
4746341000006114,,malignant tumour of pharyngeal recess,1
4746351000006111,,malignant tumour of fossa of rosenmuller,1
4746361000006113,,malignant tumor of pharyngeal recess,1
4746371000006118,,malignant tumor of fossa of rosenmuller,1
4746541000006117,,malignant tumour of waldeyer's ring,1
4746551000006115,,malignant tumor of waldeyer's ring,1
4746571000006113,,malignant tumor of waldeyer ring,1
4747791000006115,,malignant tumour of tympanic cavity,1
4747811000006116,,malignant tumor of tympanic cavity,1
5355601000006119,,"carcinoma of lip, oral cavity and/or pharynx",1
5523391000006118,,"malignant neoplasm of lip, oral cavity and/or pharynx",1
6247811000006119,,malignant tumour of pharynx,1
6247821000006110,,malignant tumor of pharynx,1
6247831000006113,,cancer of pharynx,1
6247841000006115,,ca - cancer of pharynx,1
6247851000006118,,malignant neoplasm of pharynx,1
406052010,B0...00,"malignant neoplasm of lip, oral cavity and pharynx",1
380095017,B0...11,"carcinoma of lip, oral cavity and pharynx",1
288546013,B072000,malignant neoplasm of pharyngeal recess,1
288568015,B083.00,malignant neoplasm of posterior pharynx,1
729591000006114,B0z..00,"malig neop other/ill-defined sites lip, oral cavity, pharynx",1
288573014,B0z0.00,malignant neoplasm of pharynx unspecified,1
288578017,B0z1.00,malignant neoplasm of waldeyer's ring,1
723801000006115,B0zy.00,"malignant neoplasm of other sites lip, oral cavity, pharynx",1
288582015,B0zz.00,"malignant neoplasm of lip, oral cavity and pharynx nos",1
879731000006116,B0zz.99,"ca lip, oral, pharynx nos",1
288784017,B201100,malignant neoplasm of tympanic cavity,1
396301000006110,Byu0.00,"[x]malignant neoplasm of lip, oral cavity and pharynx",1
4170491000006116,,overlapping malignant neoplasm of oesophagus,1
4170501000006112,,overlapping malignant neoplasm of esophagus,1
4170521000006119,,"malignant neoplasm, overlapping lesion of esophagus",1
4746581000006111,,malignant tumour of cervical part of oesophagus,1
4746601000006118,,malignant tumor of cervical part of esophagus,1
4746611000006115,,malignant neoplasm of cervical esophagus,1
4746621000006111,,malignant tumour of thoracic part of oesophagus,1
4746631000006114,,malignant neoplasm of thoracic esophagus,1
4746641000006116,,malignant tumor of thoracic part of esophagus,1
4746661000006117,,malignant tumour of abdominal part of oesophagus,1
4746681000006110,,malignant tumor of abdominal part of esophagus,1
4746691000006113,,malignant neoplasm of abdominal esophagus,1
4746701000006113,,malignant tumour of upper third of oesophagus,1
4746711000006111,,malignant neoplasm of upper third of esophagus,1
4746721000006115,,malignant tumor of upper third of esophagus,1
4746751000006112,,ca upper third esophagus,1
4746761000006114,,malignant tumour of middle third of oesophagus,1
4746771000006119,,malignant tumor of middle third of esophagus,1
4746781000006116,,malignant neoplasm of middle third of esophagus,1
4746811000006119,,ca middle third esophagus,1
4746821000006110,,malignant tumour of lower third of oesophagus,1
4746841000006115,,malignant neoplasm of lower third of esophagus,1
4746851000006118,,malignant tumor of lower third of esophagus,1
4746871000006111,,ca lower third esophagus,1
6244811000006110,,malignant tumour of oesophagus,1
6244821000006119,,malignant tumor of esophagus,1
6244831000006116,,cancer of oesophagus,1
6244851000006111,,ca - cancer of oesophagus,1
6244871000006118,,cancer of esophagus,1
6244881000006115,,ca - cancer of esophagus,1
6244891000006117,,esophageal cancer,1
6244901000006118,,malignant neoplasm of esophagus,1
907391000006113,,[rfc] cancer of the oesophagus,1
1216488012,B10..00,malignant neoplasm of oesophagus,1
288589012,B100.00,malignant neoplasm of cervical oesophagus,1
288594012,B101.00,malignant neoplasm of thoracic oesophagus,1
288597017,B102.00,malignant neoplasm of abdominal oesophagus,1
288602012,B103.00,malignant neoplasm of upper third of oesophagus,1
1216076018,B103.99,ca upper third oesophagus,1
288607018,B104.00,malignant neoplasm of middle third of oesophagus,1
1216077010,B104.99,ca middle third oesophagus,1
288608011,B105.00,malignant neoplasm of lower third of oesophagus,1
1216078017,B105.99,ca lower third oesophagus,1
1215862010,B106.00,"malignant neoplasm, overlapping lesion of oesophagus",1
638841000000113,B107.00,siewert type i adenocarcinoma,1
288614016,B10y.00,malignant neoplasm of other specified part of oesophagus,1
403674011,B10z.00,malignant neoplasm of oesophagus nos,1
1216486011,B10z.11,oesophageal cancer,1
11925591000006119,,malignant neoplasm of stomach nos,1
11925611000006113,,malignant neoplasm of prepylorus of stomach,1
11925631000006119,,malignant neoplasm of posterior wall of stomach nec,1
11925901000006117,,malignant neoplasm of anterior wall of stomach nec,1
12719091000006113,,malignant neoplasm of lesser curve of stomach unspecified,1
12719101000006119,,malignant neoplasm of greater curve of stomach unspecified,1
12762141000006110,,malignant tumor of stomach,1
2891011000006116,,"carcinoma, diffuse type",1
2891021000006112,,"adenocarcinoma, diffuse type",1
2891031000006110,,adenocarcinoma - diffuse type,1
2891041000006117,,carcinoma - diffuse type,1
2902531000006119,,"adenocarcinoma, intestinal type",1
2902541000006112,,"carcinoma, intestinal type",1
2902551000006114,,carcinoma - intestinal type,1
3111891000006115,,linitis plastica,1
4170531000006116,,overlapping malignant neoplasm of stomach,1
4170551000006111,,"cancer of the stomach, overlapping sites",1
4388391000006112,,neoplasm of stomach,1
4388411000006112,,tumor of stomach,1
4746881000006114,,malignant tumour of cardia,1
4746901000006111,,malignant tumor of cardia,1
4746941000006113,,malignant neoplasm of cardio-esophageal junction of stomach,1
4746951000006110,,malignant neoplasm of gastro-esophageal junction,1
4746971000006117,,malignant neoplasm of cardioesophageal junction of stomach,1
4746981000006119,,malignant tumour of pylorus,1
4746991000006116,,malignant tumor of pylorus,1
4747031000006116,,malignant tumour of pyloric antrum,1
4747041000006114,,malignant tumor of pyloric antrum,1
4747061000006113,,malignant tumour of fundus of stomach,1
4747081000006115,,malignant tumor of fundus of stomach,1
4747101000006111,,malignant tumour of body of stomach,1
4747111000006114,,malignant tumor of body of stomach,1
5511581000006116,,malignant tumor of lesser curve of stomach,1
