prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug,drug_oac_type,drug_oac
6000641000033118,Oral solution,Oral,600.000microgram/1.000ml,301,warfarin 3mg/5ml oral solution,warfarin 3mg/5ml oral solution,warfarin sodium,warfarin,warfarin,1
6000741000033110,Oral solution,Oral,1.000mg/1.000ml,473,warfarin 5mg/5ml oral solution,warfarin 5mg/5ml oral solution,warfarin sodium,warfarin,warfarin,1
6000841000033117,Oral suspension,Oral,200.000microgram/1.000ml,349,warfarin 1mg/5ml oral suspension,warfarin 1mg/5ml oral suspension,warfarin sodium,warfarin,warfarin,1
6000941000033113,Oral suspension,Oral,600.000microgram/1.000ml,3,warfarin 3mg/5ml oral suspension,warfarin 3mg/5ml oral suspension,warfarin sodium,warfarin,warfarin,1
6066441000033118,Oral suspension,Oral,1.000mg/1.000ml,13175,warfarin 1mg/ml oral suspension sugar free,warfarin 1mg/ml oral suspension sugar free,warfarin sodium,warfarin,warfarin,1
6112441000033111,Tablet/ Oral Tablet,,4.000mg,146,coumadin 4mg tablets,coumadin 4mg tablets (imported (canada)),warfarin sodium,warfarin,warfarin,1
6436141000033111,Capsule/ Oral capsule,Oral,150.000mg,632626,dabigatran etexilate 150mg capsules,dabigatran etexilate 150mg capsules,dabigatran etexilate mesilate,dabigatran,doac,1
6436241000033116,Capsule/ Oral capsule,Oral,150.000mg,10134,pradaxa 150mg capsules,pradaxa 150mg capsules (boehringer ingelheim ltd),dabigatran etexilate mesilate,dabigatran,doac,1
6444441000033114,Tablet/ Oral Tablet,Oral,2.500mg,5248237,apixaban 2.5mg tablets,apixaban 2.5mg tablets,apixaban,apixaban,doac,1
6444541000033110,Tablet/ Oral Tablet,Oral,2.500mg,9994,eliquis 2.5mg tablets,eliquis 2.5mg tablets (bristol-myers squibb pharmaceuticals ltd),apixaban,apixaban,doac,1
6511341000033117,Tablet/ Oral Tablet,Oral,15.000mg,2868822,rivaroxaban 15mg tablets,rivaroxaban 15mg tablets,rivaroxaban,rivaroxaban,doac,1
6511441000033111,Tablet/ Oral Tablet,Oral,20.000mg,7531814,rivaroxaban 20mg tablets,rivaroxaban 20mg tablets,rivaroxaban,rivaroxaban,doac,1
6511541000033112,Tablet/ Oral Tablet,Oral,15.000mg,4887,xarelto 15mg tablets,xarelto 15mg tablets (bayer plc),rivaroxaban,rivaroxaban,doac,1
6511641000033113,Tablet/ Oral Tablet,Oral,20.000mg,22471,xarelto 20mg tablets,xarelto 20mg tablets (bayer plc),rivaroxaban,rivaroxaban,doac,1
8232941000033119,Tablet/ Oral Tablet,Oral,5.000mg,9559606,apixaban 5mg tablets,apixaban 5mg tablets,apixaban,apixaban,doac,1
8233041000033112,Tablet/ Oral Tablet,Oral,5.000mg,17960,eliquis 5mg tablets,eliquis 5mg tablets (bristol-myers squibb pharmaceuticals ltd),apixaban,apixaban,doac,1
868141000033114,Tablet/ Oral Tablet,Oral,1.000mg,82444,marevan 1mg tablets,marevan 1mg tablets (advanz pharma),warfarin sodium,warfarin,warfarin,1
868241000033119,Tablet/ Oral Tablet,Oral,3.000mg,68056,marevan 3mg tablets,marevan 3mg tablets (advanz pharma),warfarin sodium,warfarin,warfarin,1
868341000033112,Tablet/ Oral Tablet,Oral,5.000mg,40531,marevan 5mg tablets,marevan 5mg tablets (advanz pharma),warfarin sodium,warfarin,warfarin,1
9704541000033116,Tablet/ Oral Tablet,Oral,2.500mg,80145,rivaroxaban 2.5mg tablets,rivaroxaban 2.5mg tablets,rivaroxaban,rivaroxaban,doac,1
9704641000033115,Tablet/ Oral Tablet,Oral,2.500mg,241,xarelto 2.5mg tablets,xarelto 2.5mg tablets (bayer plc),rivaroxaban,rivaroxaban,doac,1
