prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,med_form,drug_antiplatelet
469741000033111,Tablet/ Oral Tablet,Oral,25.000mg,161471,dipyridamole 25mg tablets,dipyridamole 25mg tablets,dipyridamole,oral/inj,1
4956441000033110,Tablet/ Oral Tablet,Oral,5.000mg,27735,prasugrel 5mg tablets,prasugrel 5mg tablets,prasugrel,oral/inj,1
4956541000033111,Tablet/ Oral Tablet,Oral,10.000mg,311104,prasugrel 10mg tablets,prasugrel 10mg tablets,prasugrel,oral/inj,1
4956641000033112,Tablet/ Oral Tablet,Oral,5.000mg,215,efient 5mg tablets,efient 5mg tablets (vygoris ltd),prasugrel,oral/inj,1
4956741000033115,Tablet/ Oral Tablet,Oral,10.000mg,1720,efient 10mg tablets,efient 10mg tablets (vygoris ltd),prasugrel,oral/inj,1
5020341000033117,Oral suspension,Oral,40.000mg/1.000ml,1126,dipyridamole 200mg/5ml oral suspension,dipyridamole 200mg/5ml oral suspension,dipyridamole,oral/inj,1
5052341000033115,Oral suspension,Oral,20.000mg/1.000ml,3390,dipyridamole 100mg/5ml oral suspension,dipyridamole 100mg/5ml oral suspension,dipyridamole,oral/inj,1
5242341000033112,Tablet/ Oral Tablet,Oral,75.000mg,615,grepid 75mg tablets,grepid 75mg tablets (kent pharma (uk) ltd),clopidogrel,oral/inj,1
5401541000033119,Oral solution,Oral,50.000mg/1.000ml,13,dipyridamole 250mg/5ml oral solution,dipyridamole 250mg/5ml oral solution,dipyridamole,oral/inj,1
5889941000033115,Oral solution,Oral,20.000mg/1.000ml,349,dipyridamole 100mg/5ml oral solution,dipyridamole 100mg/5ml oral solution,dipyridamole,oral/inj,1
5992041000033118,Oral solution,Oral,40.000mg/1.000ml,346,dipyridamole 200mg/5ml oral solution,dipyridamole 200mg/5ml oral solution,dipyridamole,oral/inj,1
6059341000033111,Tablet/ Oral Tablet,Oral,90.000mg,1364639,ticagrelor 90mg tablets,ticagrelor 90mg tablets,ticagrelor,oral/inj,1
6059441000033117,Tablet/ Oral Tablet,Oral,90.000mg,3952,brilique 90mg tablets,brilique 90mg tablets (astrazeneca uk ltd),ticagrelor,oral/inj,1
6122841000033118,Oral suspension,Oral,15.000mg/1.000ml,3065,clopidogrel 75mg/5ml oral suspension,clopidogrel 75mg/5ml oral suspension,clopidogrel hydrogen sulfate,oral/inj,1
8031441000033112,Oral suspension,Oral,1.000mg/1.000ml,1475,clopidogrel 1mg/ml oral suspension,clopidogrel 1mg/ml oral suspension,clopidogrel hydrogen sulfate,oral/inj,1
8300741000033118, Powder,Oral,4.000mg,101,clopidogrel 4mg oral powder sachets,clopidogrel 4mg oral powder sachets,clopidogrel hydrogen sulfate,oral/inj,1
8301241000033117,Oral solution,Oral,15.000mg/1.000ml,11280,clopidogrel 75mg/5ml oral solution,clopidogrel 75mg/5ml oral solution,clopidogrel hydrogen sulfate,oral/inj,1
8619141000033116,Modified-release capsule,Oral,25.000mg + 200.000mg,308,molita 200mg/25mg modified-release capsules,molita 200mg/25mg modified-release capsules (dr reddy's laboratories (uk) ltd),aspirin/ dipyridamole,oral/inj,1
9165341000033117,Modified-release capsule,Oral,200.000mg,2368,attia 200mg modified-release capsules,attia 200mg modified-release capsules (dr reddy's laboratories (uk) ltd),dipyridamole,oral/inj,1
